srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank,system15Number,system15Id,system15rank
Complex,simple,490,-1,490,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,12,-1,IITB,1,-1,IPN,1,-1,NTHU,12,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,15,-1,src,1,-1,NUCLEA,1
Complex,simple,610,-1,610,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,2,-1,NTHU,15,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,1,-1,CAMB,14,-1,src,2,-1,NUCLEA,2
Complex,simple,267,-1,267,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,1,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,2,-1,src,2,-1,NUCLEA,2
Complex,simple,14,-1,14,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,544,-1,544,grammar,-1,POST,14,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,15
Complex,simple,1122,-1,1122,grammar,-1,POST,1,-1,JMGR,14,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,src,1,-1,NUCLEA,1
Complex,simple,431,-1,431,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,NTHU,15,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,14
Complex,simple,262,-1,262,grammar,-1,POST,14,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,575,-1,575,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,14,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,14,-1,UFC,2,-1,UMC,2,-1,CAMB,2,-1,src,2,-1,NUCLEA,1
Complex,simple,1228,-1,1228,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,331,-1,331,grammar,-1,POST,4,-1,JMGR,14,-1,AMU,7,-1,CUUI,5,-1,IITB,7,-1,IPN,7,-1,NTHU,1,-1,PKU,5,-1,RAC,7,-1,SJTU,7,-1,UFC,7,-1,UMC,3,-1,CAMB,2,-1,src,7,-1,NUCLEA,15
Complex,simple,660,-1,660,grammar,-1,POST,4,-1,JMGR,1,-1,AMU,4,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,2,-1,SJTU,4,-1,UFC,4,-1,UMC,14,-1,CAMB,14,-1,src,4,-1,NUCLEA,3
Complex,simple,550,-1,550,grammar,-1,POST,9,-1,JMGR,1,-1,AMU,1,-1,CUUI,7,-1,IITB,1,-1,IPN,11,-1,NTHU,1,-1,PKU,11,-1,RAC,9,-1,SJTU,11,-1,UFC,11,-1,UMC,1,-1,CAMB,1,-1,src,11,-1,NUCLEA,7
Complex,simple,962,-1,962,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,12,-1,UFC,1,-1,UMC,12,-1,CAMB,12,-1,src,1,-1,NUCLEA,12
Complex,simple,816,-1,816,grammar,-1,POST,1,-1,JMGR,14,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,14
Complex,simple,1160,-1,1160,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,15,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,415,-1,415,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,8,-1,IITB,8,-1,IPN,8,-1,NTHU,1,-1,PKU,15,-1,RAC,8,-1,SJTU,8,-1,UFC,8,-1,UMC,1,-1,CAMB,1,-1,src,8,-1,NUCLEA,1
Complex,simple,611,-1,611,grammar,-1,POST,3,-1,JMGR,1,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,15,-1,CAMB,1,-1,src,3,-1,NUCLEA,3
Complex,simple,1285,-1,1285,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,557,-1,557,grammar,-1,POST,14,-1,JMGR,3,-1,AMU,3,-1,CUUI,1,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,1,-1,src,3,-1,NUCLEA,15
Complex,simple,1252,-1,1252,grammar,-1,POST,4,-1,JMGR,1,-1,AMU,1,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,4,-1,CAMB,1,-1,src,4,-1,NUCLEA,4
Complex,simple,530,-1,530,grammar,-1,POST,1,-1,JMGR,15,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,5,-1,5,grammar,-1,POST,3,-1,JMGR,3,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,1,-1,CAMB,1,-1,src,3,-1,NUCLEA,3
Complex,simple,432,-1,432,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,959,-1,959,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,13,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,15,-1,src,1,-1,NUCLEA,14
Complex,simple,1059,-1,1059,grammar,-1,POST,2,-1,JMGR,12,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,15,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,14,-1,CAMB,12,-1,src,2,-1,NUCLEA,1
Complex,simple,346,-1,346,grammar,-1,POST,15,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,116,-1,116,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,5,-1,CUUI,5,-1,IITB,5,-1,IPN,1,-1,NTHU,5,-1,PKU,1,-1,RAC,5,-1,SJTU,15,-1,UFC,5,-1,UMC,1,-1,CAMB,14,-1,src,5,-1,NUCLEA,4
Complex,simple,650,-1,650,grammar,-1,POST,3,-1,JMGR,4,-1,AMU,15,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,NTHU,1,-1,PKU,4,-1,RAC,1,-1,SJTU,4,-1,UFC,4,-1,UMC,14,-1,CAMB,4,-1,src,4,-1,NUCLEA,4
Complex,simple,693,-1,693,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,9,-1,CUUI,1,-1,IITB,9,-1,IPN,9,-1,NTHU,5,-1,PKU,9,-1,RAC,1,-1,SJTU,9,-1,UFC,9,-1,UMC,5,-1,CAMB,3,-1,src,9,-1,NUCLEA,3
Complex,simple,754,-1,754,grammar,-1,POST,5,-1,JMGR,3,-1,AMU,3,-1,CUUI,15,-1,IITB,7,-1,IPN,7,-1,NTHU,13,-1,PKU,1,-1,RAC,1,-1,SJTU,7,-1,UFC,7,-1,UMC,13,-1,CAMB,7,-1,src,7,-1,NUCLEA,6
Complex,simple,560,-1,560,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,14,-1,CUUI,2,-1,IITB,5,-1,IPN,15,-1,NTHU,5,-1,PKU,5,-1,RAC,5,-1,SJTU,5,-1,UFC,5,-1,UMC,2,-1,CAMB,2,-1,src,5,-1,NUCLEA,1
Complex,simple,979,-1,979,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,2,-1,src,2,-1,NUCLEA,1
Complex,simple,847,-1,847,grammar,-1,POST,1,-1,JMGR,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,15,-1,CAMB,13,-1,src,1,-1,NUCLEA,1
Complex,simple,853,-1,853,grammar,-1,POST,14,-1,JMGR,2,-1,AMU,2,-1,CUUI,14,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,2,-1,src,2,-1,NUCLEA,1
Complex,simple,443,-1,443,grammar,-1,POST,4,-1,JMGR,2,-1,AMU,4,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,1,-1,CAMB,2,-1,src,4,-1,NUCLEA,15
Complex,simple,378,-1,378,grammar,-1,POST,14,-1,JMGR,3,-1,AMU,2,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,15,-1,CAMB,1,-1,src,3,-1,NUCLEA,13
Complex,simple,561,-1,561,grammar,-1,POST,13,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,13,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,15,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,326,-1,326,grammar,-1,POST,14,-1,JMGR,2,-1,AMU,2,-1,CUUI,12,-1,IITB,2,-1,IPN,2,-1,NTHU,12,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,1,-1,CAMB,2,-1,src,2,-1,NUCLEA,15
Complex,simple,955,-1,955,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,15,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,210,-1,210,grammar,-1,POST,3,-1,JMGR,1,-1,AMU,3,-1,CUUI,13,-1,IITB,3,-1,IPN,3,-1,NTHU,13,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,1,-1,src,3,-1,NUCLEA,13
Complex,simple,271,-1,271,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,1140,-1,1140,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,1,-1,CUUI,1,-1,IITB,5,-1,IPN,5,-1,NTHU,5,-1,PKU,5,-1,RAC,5,-1,SJTU,5,-1,UFC,5,-1,UMC,1,-1,CAMB,1,-1,src,5,-1,NUCLEA,5
Complex,simple,396,-1,396,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,5,-1,CUUI,5,-1,IITB,5,-1,IPN,14,-1,NTHU,5,-1,PKU,2,-1,RAC,5,-1,SJTU,11,-1,UFC,14,-1,UMC,12,-1,CAMB,13,-1,src,5,-1,NUCLEA,1
Complex,simple,466,-1,466,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,1158,-1,1158,grammar,-1,POST,12,-1,JMGR,1,-1,AMU,1,-1,CUUI,12,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,12,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,src,1,-1,NUCLEA,1
Complex,simple,726,-1,726,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,15,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,97,-1,97,grammar,-1,POST,4,-1,JMGR,4,-1,AMU,4,-1,CUUI,2,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,2,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,4,-1,CAMB,15,-1,src,4,-1,NUCLEA,1
Complex,simple,699,-1,699,grammar,-1,POST,4,-1,JMGR,5,-1,AMU,7,-1,CUUI,1,-1,IITB,7,-1,IPN,7,-1,NTHU,7,-1,PKU,1,-1,RAC,3,-1,SJTU,7,-1,UFC,7,-1,UMC,7,-1,CAMB,5,-1,src,7,-1,NUCLEA,7
Complex,simple,75,-1,75,grammar,-1,POST,12,-1,JMGR,1,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,12,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,12,-1,CAMB,15,-1,src,3,-1,NUCLEA,1
Complex,simple,799,-1,799,grammar,-1,POST,2,-1,JMGR,13,-1,AMU,2,-1,CUUI,1,-1,IITB,2,-1,IPN,2,-1,NTHU,14,-1,PKU,2,-1,RAC,2,-1,SJTU,10,-1,UFC,2,-1,UMC,14,-1,CAMB,10,-1,src,2,-1,NUCLEA,12
Complex,simple,71,-1,71,grammar,-1,POST,14,-1,JMGR,4,-1,AMU,1,-1,CUUI,1,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,4,-1,CAMB,14,-1,src,4,-1,NUCLEA,1
Complex,simple,383,-1,383,grammar,-1,POST,3,-1,JMGR,3,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,1,-1,CAMB,1,-1,src,3,-1,NUCLEA,15
Complex,simple,511,-1,511,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,5,-1,CUUI,5,-1,IITB,5,-1,IPN,5,-1,NTHU,1,-1,PKU,5,-1,RAC,5,-1,SJTU,5,-1,UFC,5,-1,UMC,1,-1,CAMB,5,-1,src,5,-1,NUCLEA,5
Complex,simple,30,-1,30,grammar,-1,POST,13,-1,JMGR,2,-1,AMU,2,-1,CUUI,11,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,11,-1,SJTU,2,-1,UFC,2,-1,UMC,1,-1,CAMB,14,-1,src,2,-1,NUCLEA,15
Complex,simple,733,-1,733,grammar,-1,POST,2,-1,JMGR,4,-1,AMU,2,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,1,-1,UFC,4,-1,UMC,4,-1,CAMB,4,-1,src,4,-1,NUCLEA,4
Complex,simple,756,-1,756,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,1,-1,IITB,7,-1,IPN,15,-1,NTHU,7,-1,PKU,2,-1,RAC,7,-1,SJTU,7,-1,UFC,7,-1,UMC,7,-1,CAMB,2,-1,src,7,-1,NUCLEA,7
Complex,simple,504,-1,504,grammar,-1,POST,9,-1,JMGR,9,-1,AMU,1,-1,CUUI,9,-1,IITB,2,-1,IPN,2,-1,NTHU,9,-1,PKU,2,-1,RAC,2,-1,SJTU,9,-1,UFC,2,-1,UMC,9,-1,CAMB,15,-1,src,2,-1,NUCLEA,2
Complex,simple,314,-1,314,grammar,-1,POST,14,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,1064,-1,1064,grammar,-1,POST,4,-1,JMGR,4,-1,AMU,4,-1,CUUI,1,-1,IITB,4,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,1,-1,UFC,4,-1,UMC,1,-1,CAMB,15,-1,src,4,-1,NUCLEA,14
Complex,simple,128,-1,128,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,15,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,924,-1,924,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,15,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,218,-1,218,grammar,-1,POST,10,-1,JMGR,1,-1,AMU,12,-1,CUUI,1,-1,IITB,1,-1,IPN,12,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,15,-1,CAMB,14,-1,src,1,-1,NUCLEA,10
Complex,simple,281,-1,281,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,15,-1,CUUI,5,-1,IITB,5,-1,IPN,5,-1,NTHU,5,-1,PKU,1,-1,RAC,1,-1,SJTU,14,-1,UFC,5,-1,UMC,5,-1,CAMB,4,-1,src,5,-1,NUCLEA,1
Complex,simple,232,-1,232,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,357,-1,357,grammar,-1,POST,13,-1,JMGR,2,-1,AMU,2,-1,CUUI,2,-1,IITB,6,-1,IPN,6,-1,NTHU,15,-1,PKU,6,-1,RAC,6,-1,SJTU,6,-1,UFC,6,-1,UMC,1,-1,CAMB,13,-1,src,6,-1,NUCLEA,2
Complex,simple,1246,-1,1246,grammar,-1,POST,14,-1,JMGR,11,-1,AMU,2,-1,CUUI,15,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,11,-1,UFC,2,-1,UMC,1,-1,CAMB,11,-1,src,2,-1,NUCLEA,2
Complex,simple,872,-1,872,grammar,-1,POST,15,-1,JMGR,12,-1,AMU,2,-1,CUUI,12,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,12,-1,src,2,-1,NUCLEA,1
Complex,simple,945,-1,945,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,14,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,1,-1,src,1,-1,NUCLEA,15
Complex,simple,1167,-1,1167,grammar,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,src,1,-1,NUCLEA,1
Complex,simple,1190,-1,1190,grammar,-1,POST,2,-1,JMGR,2,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,2,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,13,-1,UFC,2,-1,UMC,15,-1,CAMB,14,-1,src,2,-1,NUCLEA,1
Complex,simple,776,-1,776,grammar,-1,POST,5,-1,JMGR,5,-1,AMU,2,-1,CUUI,4,-1,IITB,5,-1,IPN,5,-1,NTHU,5,-1,PKU,1,-1,RAC,3,-1,SJTU,5,-1,UFC,5,-1,UMC,5,-1,CAMB,5,-1,src,5,-1,NUCLEA,15
Complex,simple,63,-1,63,grammar,-1,POST,9,-1,JMGR,8,-1,AMU,3,-1,CUUI,7,-1,IITB,10,-1,IPN,10,-1,NTHU,10,-1,PKU,3,-1,RAC,3,-1,SJTU,10,-1,UFC,10,-1,UMC,1,-1,CAMB,3,-1,src,10,-1,NUCLEA,2
